x	y	oid_
71808.5925	272595.196	NA
73808.5925	272595.196	NA
75808.5925	272595.196	NA
77808.5925	272595.196	NA
79808.5925	272595.196	NA
81808.5925	272595.196	NA
83808.5925	272595.196	NA
85808.5925	272595.196	NA
87808.5925	272595.196	NA
89808.5925	272595.196	NA
91808.5925	272595.196	NA
93808.5925	272595.196	NA
95808.5925	272595.196	NA
97808.5925	272595.196	NA
99808.5925	272595.196	NA
101808.5925	272595.196	NA
103808.5925	272595.196	NA
105808.5925	272595.196	NA
107808.5925	272595.196	NA
109808.5925	272595.196	NA
111808.5925	272595.196	NA
113808.5925	272595.196	NA
115808.5925	272595.196	NA
117808.5925	272595.196	NA
119808.5925	272595.196	NA
121808.5925	272595.196	NA
123808.5925	272595.196	NA
125808.5925	272595.196	NA
127808.5925	272595.196	NA
129808.5925	272595.196	NA
131808.5925	272595.196	NA
133808.5925	272595.196	NA
135808.5925	272595.196	NA
137808.5925	272595.196	NA
139808.5925	272595.196	NA
141808.5925	272595.196	NA
143808.5925	272595.196	NA
145808.5925	272595.196	NA
147808.5925	272595.196	NA
149808.5925	272595.196	NA
151808.5925	272595.196	NA
153808.5925	272595.196	NA
155808.5925	272595.196	NA
157808.5925	272595.196	NA
159808.5925	272595.196	NA
161808.5925	272595.196	NA
-118191.4075	270595.196	NA
-116191.4075	270595.196	NA
-114191.4075	270595.196	NA
-112191.4075	270595.196	NA
-110191.4075	270595.196	NA
-108191.4075	270595.196	NA
-106191.4075	270595.196	NA
-104191.4075	270595.196	NA
-102191.4075	270595.196	NA
-100191.4075	270595.196	NA
-98191.4075	270595.196	NA
-96191.4075	270595.196	NA
-94191.4075	270595.196	NA
-92191.4075	270595.196	NA
-90191.4075	270595.196	NA
-88191.4075	270595.196	NA
-86191.4075	270595.196	NA
-84191.4075	270595.196	NA
-82191.4075	270595.196	NA
-80191.4075	270595.196	NA
-78191.4075	270595.196	NA
-76191.4075	270595.196	NA
-74191.4075	270595.196	NA
-72191.4075	270595.196	NA
-70191.4075	270595.196	NA
-68191.4075	270595.196	NA
-66191.4075	270595.196	NA
-64191.4075	270595.196	NA
-62191.4075	270595.196	NA
-60191.4075	270595.196	NA
-58191.4075	270595.196	NA
-56191.4075	270595.196	NA
-54191.4075	270595.196	NA
-52191.4075	270595.196	NA
-50191.4075	270595.196	NA
-48191.4075	270595.196	NA
-46191.4075	270595.196	NA
-44191.4075	270595.196	NA
-42191.4075	270595.196	NA
-40191.4075	270595.196	NA
-38191.4075	270595.196	NA
-36191.4075	270595.196	NA
-34191.4075	270595.196	NA
-32191.4075	270595.196	NA
-30191.4075	270595.196	NA
-28191.4075	270595.196	NA
-26191.4075	270595.196	NA
-24191.4075	270595.196	NA
-22191.4075	270595.196	NA
-20191.4075	270595.196	NA
-18191.4075	270595.196	NA
-16191.4075	270595.196	NA
-14191.4075	270595.196	NA
-12191.4075	270595.196	133
-10191.4075	270595.196	133
-8191.4075	270595.196	133
-6191.4075	270595.196	133
-4191.4075	270595.196	NA
-2191.4075	270595.196	NA
-191.407500000001	270595.196	NA
1808.5925	270595.196	NA
3808.5925	270595.196	NA
5808.5925	270595.196	NA
7808.5925	270595.196	NA
9808.5925	270595.196	NA
11808.5925	270595.196	NA
13808.5925	270595.196	NA
15808.5925	270595.196	NA
17808.5925	270595.196	NA
19808.5925	270595.196	NA
21808.5925	270595.196	NA
23808.5925	270595.196	NA
25808.5925	270595.196	NA
27808.5925	270595.196	NA
29808.5925	270595.196	NA
31808.5925	270595.196	NA
33808.5925	270595.196	NA
35808.5925	270595.196	NA
37808.5925	270595.196	NA
39808.5925	270595.196	NA
41808.5925	270595.196	NA
43808.5925	270595.196	NA
45808.5925	270595.196	NA
47808.5925	270595.196	NA
49808.5925	270595.196	NA
51808.5925	270595.196	NA
53808.5925	270595.196	NA
55808.5925	270595.196	NA
57808.5925	270595.196	NA
59808.5925	270595.196	NA
61808.5925	270595.196	NA
63808.5925	270595.196	NA
65808.5925	270595.196	NA
67808.5925	270595.196	NA
69808.5925	270595.196	NA
71808.5925	270595.196	NA
73808.5925	270595.196	NA
75808.5925	270595.196	NA
77808.5925	270595.196	NA
79808.5925	270595.196	NA
81808.5925	270595.196	NA
83808.5925	270595.196	NA
85808.5925	270595.196	NA
87808.5925	270595.196	NA
89808.5925	270595.196	NA
91808.5925	270595.196	NA
93808.5925	270595.196	NA
95808.5925	270595.196	NA
97808.5925	270595.196	NA
99808.5925	270595.196	NA
101808.5925	270595.196	NA
103808.5925	270595.196	NA
105808.5925	270595.196	NA
107808.5925	270595.196	NA
109808.5925	270595.196	NA
111808.5925	270595.196	NA
113808.5925	270595.196	NA
115808.5925	270595.196	NA
117808.5925	270595.196	NA
119808.5925	270595.196	NA
121808.5925	270595.196	NA
123808.5925	270595.196	NA
125808.5925	270595.196	NA
127808.5925	270595.196	NA
129808.5925	270595.196	NA
131808.5925	270595.196	NA
133808.5925	270595.196	NA
135808.5925	270595.196	NA
137808.5925	270595.196	NA
139808.5925	270595.196	NA
141808.5925	270595.196	NA
143808.5925	270595.196	NA
145808.5925	270595.196	NA
147808.5925	270595.196	NA
149808.5925	270595.196	NA
151808.5925	270595.196	NA
153808.5925	270595.196	NA
155808.5925	270595.196	NA
157808.5925	270595.196	NA
159808.5925	270595.196	NA
161808.5925	270595.196	NA
-118191.4075	268595.196	NA
-116191.4075	268595.196	NA
-114191.4075	268595.196	NA
-112191.4075	268595.196	NA
-110191.4075	268595.196	NA
-108191.4075	268595.196	NA
-106191.4075	268595.196	NA
-104191.4075	268595.196	NA
-102191.4075	268595.196	NA
-100191.4075	268595.196	NA
-98191.4075	268595.196	NA
-96191.4075	268595.196	NA
-94191.4075	268595.196	NA
-92191.4075	268595.196	NA
-90191.4075	268595.196	NA
-88191.4075	268595.196	NA
-86191.4075	268595.196	NA
-84191.4075	268595.196	NA
-82191.4075	268595.196	NA
-80191.4075	268595.196	NA
-78191.4075	268595.196	NA
-76191.4075	268595.196	NA
-74191.4075	268595.196	NA
-72191.4075	268595.196	NA
-70191.4075	268595.196	NA
-68191.4075	268595.196	NA
-66191.4075	268595.196	NA
-64191.4075	268595.196	NA
-62191.4075	268595.196	NA
-60191.4075	268595.196	NA
-58191.4075	268595.196	NA
-56191.4075	268595.196	NA
-54191.4075	268595.196	NA
-52191.4075	268595.196	NA
-50191.4075	268595.196	NA
-48191.4075	268595.196	NA
-46191.4075	268595.196	NA
-44191.4075	268595.196	NA
-42191.4075	268595.196	NA
-40191.4075	268595.196	NA
-38191.4075	268595.196	NA
-36191.4075	268595.196	NA
-34191.4075	268595.196	NA
-32191.4075	268595.196	NA
-30191.4075	268595.196	NA
-28191.4075	268595.196	NA
-26191.4075	268595.196	NA
-24191.4075	268595.196	NA
-22191.4075	268595.196	NA
-20191.4075	268595.196	NA
-18191.4075	268595.196	143
-16191.4075	268595.196	133
-14191.4075	268595.196	133
-12191.4075	268595.196	133
-10191.4075	268595.196	133
-8191.4075	268595.196	133
-6191.4075	268595.196	133
-4191.4075	268595.196	NA
-2191.4075	268595.196	NA
-191.407500000001	268595.196	NA
1808.5925	268595.196	NA
3808.5925	268595.196	NA
5808.5925	268595.196	NA
7808.5925	268595.196	NA
9808.5925	268595.196	NA
11808.5925	268595.196	NA
13808.5925	268595.196	NA
15808.5925	268595.196	NA
17808.5925	268595.196	NA
19808.5925	268595.196	NA
21808.5925	268595.196	NA
23808.5925	268595.196	NA
25808.5925	268595.196	NA
27808.5925	268595.196	NA
29808.5925	268595.196	NA
31808.5925	268595.196	NA
33808.5925	268595.196	NA
35808.5925	268595.196	NA
37808.5925	268595.196	NA
39808.5925	268595.196	NA
41808.5925	268595.196	NA
43808.5925	268595.196	NA
45808.5925	268595.196	NA
47808.5925	268595.196	NA
49808.5925	268595.196	NA
51808.5925	268595.196	NA
53808.5925	268595.196	NA
55808.5925	268595.196	NA
57808.5925	268595.196	NA
59808.5925	268595.196	NA
61808.5925	268595.196	NA
63808.5925	268595.196	NA
65808.5925	268595.196	NA
67808.5925	268595.196	NA
69808.5925	268595.196	NA
71808.5925	268595.196	NA
73808.5925	268595.196	NA
75808.5925	268595.196	NA
77808.5925	268595.196	NA
79808.5925	268595.196	NA
81808.5925	268595.196	NA
83808.5925	268595.196	NA
85808.5925	268595.196	NA
87808.5925	268595.196	NA
89808.5925	268595.196	NA
91808.5925	268595.196	NA
93808.5925	268595.196	NA
95808.5925	268595.196	NA
97808.5925	268595.196	NA
99808.5925	268595.196	NA
101808.5925	268595.196	NA
103808.5925	268595.196	NA
105808.5925	268595.196	NA
107808.5925	268595.196	NA
109808.5925	268595.196	NA
111808.5925	268595.196	NA
113808.5925	268595.196	NA
115808.5925	268595.196	NA
117808.5925	268595.196	NA
119808.5925	268595.196	NA
121808.5925	268595.196	NA
123808.5925	268595.196	NA
125808.5925	268595.196	NA
127808.5925	268595.196	NA
129808.5925	268595.196	NA
131808.5925	268595.196	NA
133808.5925	268595.196	NA
135808.5925	268595.196	NA
137808.5925	268595.196	NA
139808.5925	268595.196	NA
141808.5925	268595.196	NA
143808.5925	268595.196	NA
145808.5925	268595.196	NA
147808.5925	268595.196	NA
149808.5925	268595.196	NA
151808.5925	268595.196	NA
153808.5925	268595.196	NA
155808.5925	268595.196	NA
157808.5925	268595.196	NA
159808.5925	268595.196	NA
161808.5925	268595.196	NA
-118191.4075	266595.196	NA
-116191.4075	266595.196	NA
-114191.4075	266595.196	NA
-112191.4075	266595.196	NA
-110191.4075	266595.196	NA
-108191.4075	266595.196	NA
-106191.4075	266595.196	NA
-104191.4075	266595.196	NA
-102191.4075	266595.196	NA
-100191.4075	266595.196	NA
-98191.4075	266595.196	NA
-96191.4075	266595.196	NA
-94191.4075	266595.196	NA
-92191.4075	266595.196	NA
-90191.4075	266595.196	NA
-88191.4075	266595.196	NA
-86191.4075	266595.196	NA
-84191.4075	266595.196	NA
-82191.4075	266595.196	NA
-80191.4075	266595.196	NA
-78191.4075	266595.196	NA
-76191.4075	266595.196	NA
-74191.4075	266595.196	NA
-72191.4075	266595.196	NA
-70191.4075	266595.196	NA
-68191.4075	266595.196	NA
-66191.4075	266595.196	NA
-64191.4075	266595.196	NA
-62191.4075	266595.196	NA
-60191.4075	266595.196	NA
-58191.4075	266595.196	NA
-56191.4075	266595.196	NA
-54191.4075	266595.196	NA
-52191.4075	266595.196	NA
-50191.4075	266595.196	NA
-48191.4075	266595.196	NA
-46191.4075	266595.196	NA
-44191.4075	266595.196	NA
-42191.4075	266595.196	NA
-40191.4075	266595.196	NA
-38191.4075	266595.196	NA
-36191.4075	266595.196	NA
-34191.4075	266595.196	NA
-32191.4075	266595.196	143
-30191.4075	266595.196	143
-28191.4075	266595.196	143
-26191.4075	266595.196	143
-24191.4075	266595.196	143
-22191.4075	266595.196	143
-20191.4075	266595.196	143
-18191.4075	266595.196	143
-16191.4075	266595.196	133
-14191.4075	266595.196	133
-12191.4075	266595.196	133
-10191.4075	266595.196	133
-8191.4075	266595.196	133
-6191.4075	266595.196	133
-4191.4075	266595.196	NA
-2191.4075	266595.196	133
-191.407500000001	266595.196	133
1808.5925	266595.196	133
3808.5925	266595.196	NA
5808.5925	266595.196	NA
7808.5925	266595.196	NA
9808.5925	266595.196	NA
11808.5925	266595.196	NA
13808.5925	266595.196	NA
15808.5925	266595.196	NA
17808.5925	266595.196	NA
19808.5925	266595.196	NA
21808.5925	266595.196	NA
23808.5925	266595.196	NA
25808.5925	266595.196	NA
27808.5925	266595.196	NA
29808.5925	266595.196	NA
31808.5925	266595.196	NA
33808.5925	266595.196	NA
35808.5925	266595.196	NA
37808.5925	266595.196	NA
39808.5925	266595.196	NA
41808.5925	266595.196	NA
43808.5925	266595.196	NA
45808.5925	266595.196	NA
47808.5925	266595.196	NA
49808.5925	266595.196	NA
51808.5925	266595.196	NA
53808.5925	266595.196	NA
55808.5925	266595.196	NA
57808.5925	266595.196	NA
59808.5925	266595.196	NA
61808.5925	266595.196	NA
63808.5925	266595.196	NA
65808.5925	266595.196	NA
67808.5925	266595.196	NA
69808.5925	266595.196	NA
71808.5925	266595.196	NA
73808.5925	266595.196	NA
75808.5925	266595.196	NA
77808.5925	266595.196	NA
79808.5925	266595.196	NA
81808.5925	266595.196	NA
83808.5925	266595.196	NA
85808.5925	266595.196	NA
87808.5925	266595.196	NA
89808.5925	266595.196	NA
91808.5925	266595.196	NA
93808.5925	266595.196	NA
95808.5925	266595.196	NA
97808.5925	266595.196	NA
99808.5925	266595.196	NA
101808.5925	266595.196	NA
103808.5925	266595.196	NA
105808.5925	266595.196	NA
107808.5925	266595.196	NA
109808.5925	266595.196	NA
111808.5925	266595.196	NA
113808.5925	266595.196	NA
115808.5925	266595.196	NA
117808.5925	266595.196	NA
119808.5925	266595.196	NA
121808.5925	266595.196	NA
123808.5925	266595.196	NA
125808.5925	266595.196	NA
127808.5925	266595.196	NA
129808.5925	266595.196	NA
131808.5925	266595.196	NA
133808.5925	266595.196	NA
135808.5925	266595.196	NA
137808.5925	266595.196	NA
139808.5925	266595.196	NA
141808.5925	266595.196	NA
143808.5925	266595.196	NA
145808.5925	266595.196	NA
147808.5925	266595.196	NA
149808.5925	266595.196	NA
151808.5925	266595.196	NA
153808.5925	266595.196	NA
155808.5925	266595.196	NA
157808.5925	266595.196	NA
159808.5925	266595.196	NA
161808.5925	266595.196	NA
-118191.4075	264595.196	NA
-116191.4075	264595.196	NA
-114191.4075	264595.196	NA
-112191.4075	264595.196	NA
-110191.4075	264595.196	NA
-108191.4075	264595.196	NA
-106191.4075	264595.196	NA
-104191.4075	264595.196	NA
-102191.4075	264595.196	NA
-100191.4075	264595.196	NA
-98191.4075	264595.196	NA
-96191.4075	264595.196	NA
-94191.4075	264595.196	NA
-92191.4075	264595.196	NA
-90191.4075	264595.196	NA
-88191.4075	264595.196	NA
-86191.4075	264595.196	NA
-84191.4075	264595.196	NA
-82191.4075	264595.196	NA
-80191.4075	264595.196	NA
-78191.4075	264595.196	NA
-76191.4075	264595.196	NA
-74191.4075	264595.196	NA
-72191.4075	264595.196	NA
-70191.4075	264595.196	NA
-68191.4075	264595.196	NA
-66191.4075	264595.196	NA
-64191.4075	264595.196	NA
-62191.4075	264595.196	NA
-60191.4075	264595.196	NA
-58191.4075	264595.196	NA
-56191.4075	264595.196	NA
-54191.4075	264595.196	NA
-52191.4075	264595.196	NA
-50191.4075	264595.196	NA
-48191.4075	264595.196	NA
-46191.4075	264595.196	NA
-44191.4075	264595.196	NA
-42191.4075	264595.196	NA
-40191.4075	264595.196	248
-38191.4075	264595.196	248
-36191.4075	264595.196	248
-34191.4075	264595.196	248
-32191.4075	264595.196	143
-30191.4075	264595.196	143
-28191.4075	264595.196	143
-26191.4075	264595.196	143
-24191.4075	264595.196	143
-22191.4075	264595.196	143
-20191.4075	264595.196	143
-18191.4075	264595.196	143
-16191.4075	264595.196	143
-14191.4075	264595.196	133
-12191.4075	264595.196	133
-10191.4075	264595.196	133
-8191.4075	264595.196	133
-6191.4075	264595.196	133
-4191.4075	264595.196	133
-2191.4075	264595.196	133
-191.407500000001	264595.196	133
1808.5925	264595.196	133
3808.5925	264595.196	133
5808.5925	264595.196	NA
7808.5925	264595.196	NA
9808.5925	264595.196	NA
11808.5925	264595.196	NA
13808.5925	264595.196	NA
15808.5925	264595.196	NA
17808.5925	264595.196	NA
19808.5925	264595.196	NA
21808.5925	264595.196	NA
23808.5925	264595.196	NA
25808.5925	264595.196	NA
27808.5925	264595.196	NA
29808.5925	264595.196	NA
31808.5925	264595.196	NA
33808.5925	264595.196	NA
35808.5925	264595.196	NA
37808.5925	264595.196	NA
39808.5925	264595.196	NA
41808.5925	264595.196	NA
43808.5925	264595.196	NA
45808.5925	264595.196	NA
47808.5925	264595.196	NA
49808.5925	264595.196	NA
51808.5925	264595.196	NA
53808.5925	264595.196	NA
55808.5925	264595.196	NA
57808.5925	264595.196	NA
59808.5925	264595.196	NA
61808.5925	264595.196	NA
63808.5925	264595.196	NA
65808.5925	264595.196	NA
67808.5925	264595.196	NA
69808.5925	264595.196	NA
71808.5925	264595.196	NA
73808.5925	264595.196	NA
75808.5925	264595.196	NA
77808.5925	264595.196	NA
79808.5925	264595.196	NA
81808.5925	264595.196	NA
83808.5925	264595.196	NA
85808.5925	264595.196	NA
87808.5925	264595.196	NA
89808.5925	264595.196	NA
91808.5925	264595.196	NA
93808.5925	264595.196	NA
95808.5925	264595.196	NA
97808.5925	264595.196	NA
99808.5925	264595.196	NA
101808.5925	264595.196	NA
103808.5925	264595.196	NA
105808.5925	264595.196	NA
107808.5925	264595.196	NA
109808.5925	264595.196	NA
111808.5925	264595.196	NA
113808.5925	264595.196	NA
115808.5925	264595.196	NA
117808.5925	264595.196	NA
119808.5925	264595.196	NA
121808.5925	264595.196	NA
123808.5925	264595.196	NA
125808.5925	264595.196	NA
127808.5925	264595.196	NA
129808.5925	264595.196	NA
131808.5925	264595.196	NA
133808.5925	264595.196	NA
135808.5925	264595.196	NA
137808.5925	264595.196	NA
139808.5925	264595.196	NA
141808.5925	264595.196	NA
143808.5925	264595.196	NA
145808.5925	264595.196	NA
147808.5925	264595.196	NA
149808.5925	264595.196	NA
151808.5925	264595.196	NA
153808.5925	264595.196	NA
155808.5925	264595.196	NA
157808.5925	264595.196	NA
159808.5925	264595.196	NA
161808.5925	264595.196	NA
-118191.4075	262595.196	NA
-116191.4075	262595.196	NA
-114191.4075	262595.196	NA
-112191.4075	262595.196	NA
-110191.4075	262595.196	NA
-108191.4075	262595.196	NA
-106191.4075	262595.196	NA
-104191.4075	262595.196	NA
-102191.4075	262595.196	NA
-100191.4075	262595.196	NA
-98191.4075	262595.196	NA
-96191.4075	262595.196	NA
-94191.4075	262595.196	NA
-92191.4075	262595.196	NA
-90191.4075	262595.196	NA
-88191.4075	262595.196	NA
-86191.4075	262595.196	NA
-84191.4075	262595.196	NA
-82191.4075	262595.196	NA
-80191.4075	262595.196	NA
-78191.4075	262595.196	NA
-76191.4075	262595.196	NA
-74191.4075	262595.196	NA
-72191.4075	262595.196	NA
-70191.4075	262595.196	NA
-68191.4075	262595.196	NA
-66191.4075	262595.196	NA
-64191.4075	262595.196	NA
-62191.4075	262595.196	NA
-60191.4075	262595.196	NA
-58191.4075	262595.196	NA
-56191.4075	262595.196	NA
-54191.4075	262595.196	NA
-52191.4075	262595.196	NA
-50191.4075	262595.196	NA
-48191.4075	262595.196	NA
-46191.4075	262595.196	NA
-44191.4075	262595.196	NA
-42191.4075	262595.196	248
-40191.4075	262595.196	248
-38191.4075	262595.196	248
-36191.4075	262595.196	248
-34191.4075	262595.196	248
-32191.4075	262595.196	143
-30191.4075	262595.196	143
-28191.4075	262595.196	143
-26191.4075	262595.196	143
-24191.4075	262595.196	143
-22191.4075	262595.196	143
-20191.4075	262595.196	143
-18191.4075	262595.196	143
-16191.4075	262595.196	143
-14191.4075	262595.196	133
-12191.4075	262595.196	133
-10191.4075	262595.196	133
-8191.4075	262595.196	133
-6191.4075	262595.196	133
-4191.4075	262595.196	133
-2191.4075	262595.196	133
-191.407500000001	262595.196	133
1808.5925	262595.196	133
3808.5925	262595.196	133
5808.5925	262595.196	NA
7808.5925	262595.196	NA
9808.5925	262595.196	NA
11808.5925	262595.196	NA
13808.5925	262595.196	NA
15808.5925	262595.196	NA
17808.5925	262595.196	NA
19808.5925	262595.196	NA
21808.5925	262595.196	NA
23808.5925	262595.196	NA
25808.5925	262595.196	NA
27808.5925	262595.196	NA
29808.5925	262595.196	NA
31808.5925	262595.196	NA
33808.5925	262595.196	NA
35808.5925	262595.196	NA
37808.5925	262595.196	NA
39808.5925	262595.196	NA
41808.5925	262595.196	NA
43808.5925	262595.196	NA
45808.5925	262595.196	NA
47808.5925	262595.196	NA
49808.5925	262595.196	NA
51808.5925	262595.196	NA
53808.5925	262595.196	NA
55808.5925	262595.196	NA
57808.5925	262595.196	NA
59808.5925	262595.196	NA
61808.5925	262595.196	NA
63808.5925	262595.196	NA
65808.5925	262595.196	NA
67808.5925	262595.196	NA
69808.5925	262595.196	NA
71808.5925	262595.196	NA
73808.5925	262595.196	NA
75808.5925	262595.196	NA
77808.5925	262595.196	NA
79808.5925	262595.196	NA
81808.5925	262595.196	NA
83808.5925	262595.196	NA
85808.5925	262595.196	NA
87808.5925	262595.196	NA
89808.5925	262595.196	NA
91808.5925	262595.196	NA
93808.5925	262595.196	NA
95808.5925	262595.196	NA
97808.5925	262595.196	NA
99808.5925	262595.196	NA
101808.5925	262595.196	NA
103808.5925	262595.196	NA
105808.5925	262595.196	NA
107808.5925	262595.196	NA
109808.5925	262595.196	NA
111808.5925	262595.196	NA
113808.5925	262595.196	NA
115808.5925	262595.196	NA
117808.5925	262595.196	NA
119808.5925	262595.196	NA
121808.5925	262595.196	NA
123808.5925	262595.196	NA
125808.5925	262595.196	NA
127808.5925	262595.196	NA
129808.5925	262595.196	NA
131808.5925	262595.196	NA
133808.5925	262595.196	NA
